O,N,B,S,P,Specific surface area,Smicro,Smeso,Pore volume,Vmicro,Vmeso,Rmic/mes,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,75.0
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,69.1
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,61.7
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,56.6
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,51.9
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,45.6
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,100.0,39.7
11.5,6.7,0.0,0.0,0.0,642.0,,,1.03,0.15,0.88,0.17,6.41744548286604,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,200.0,30.6
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,104.4
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,83.0
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,69.7
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,61.7
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,56.0
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,50.4
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,46.6
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,43.7
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,39.1
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,100.0,35.4
14.9,3.1,0.0,0.0,0.0,620.0,,,0.86,0.13,0.73,0.178,5.54838709677419,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,200.0,30.4
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,92.4
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,73.1
11.2,4.2,0.0,0.0,0.0,697.0,,,0.83,0.18,0.65,0.277,4.76327116212339,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,62.4
