O,N,B,S,P,SSA,Smicro,Smeso,Smicro/SSA,Vt,Vmicro,Vmeso,Vmeso/Vt,Dap,ID/IG,Electrolyte,Current density,Specific capacity
6.1,7.2,0,0,0,1843,663,1180,0.359739555,1.1,0.34,0.76,0.690909091,2.387411829,1.01,2M ZnSO4,10,110.4
6.1,7.2,0,0,0,1843,663,1180,0.359739555,1.1,0.34,0.76,0.690909091,2.387411829,1.01,2M ZnSO4,15,104
4.2,6.3,0,0,0,543,192,351,0.35359116,0.9,0.1,0.8,0.888888889,6.629834254,0.99,2M ZnSO4,0.5,110
4.2,6.3,0,0,0,543,192,351,0.35359116,0.9,0.1,0.8,0.888888889,6.629834254,0.99,2M ZnSO4,1,97.8
4.2,6.3,0,0,0,543,192,351,0.35359116,0.9,0.1,0.8,0.888888889,6.629834254,0.99,2M ZnSO4,2,89.8
4.2,6.3,0,0,0,543,192,351,0.35359116,0.9,0.1,0.8,0.888888889,6.629834254,0.99,2M ZnSO4,3,84.9
4.2,6.3,0,0,0,543,192,351,0.35359116,0.9,0.1,0.8,0.888888889,6.629834254,0.99,2M ZnSO4,5,78.4
4.2,6.3,0,0,0,543,192,351,0.35359116,0.9,0.1,0.8,0.888888889,6.629834254,0.99,2M ZnSO4,10,67.2
4.2,6.3,0,0,0,543,192,351,0.35359116,0.9,0.1,0.8,0.888888889,6.629834254,0.99,2M ZnSO4,15,58.2
10.8,5.7,0,0,0,1454,177,1277,0.12173315,0.83,0.09,0.74,0.891566265,2.283356259,1.05,2M ZnSO4,0.5,98
10.8,5.7,0,0,0,1454,177,1277,0.12173315,0.83,0.09,0.74,0.891566265,2.283356259,1.05,2M ZnSO4,1,81.7
10.8,5.7,0,0,0,1454,177,1277,0.12173315,0.83,0.09,0.74,0.891566265,2.283356259,1.05,2M ZnSO4,2,72.2
10.8,5.7,0,0,0,1454,177,1277,0.12173315,0.83,0.09,0.74,0.891566265,2.283356259,1.05,2M ZnSO4,3,67
10.8,5.7,0,0,0,1454,177,1277,0.12173315,0.83,0.09,0.74,0.891566265,2.283356259,1.05,2M ZnSO4,5,60.7
10.8,5.7,0,0,0,1454,177,1277,0.12173315,0.83,0.09,0.74,0.891566265,2.283356259,1.05,2M ZnSO4,10,50.9
10.8,5.7,0,0,0,1454,177,1277,0.12173315,0.83,0.09,0.74,0.891566265,2.283356259,1.05,2M ZnSO4,15,45.1
9.33,6.25,0,0,0,1021,694,327,0.679725759,1.07,0.69978,0.37022,0.346,4.191968658,0.84,3M Zn(CF3SO3)2,0.2,122.3
9.33,6.25,0,0,0,1021,694,327,0.679725759,1.07,0.69978,0.37022,0.346,4.191968658,0.84,3M Zn(CF3SO3)2,0.5,108.1
9.33,6.25,0,0,0,1021,694,327,0.679725759,1.07,0.69978,0.37022,0.346,4.191968658,0.84,3M Zn(CF3SO3)2,1,103.8
9.33,6.25,0,0,0,1021,694,327,0.679725759,1.07,0.69978,0.37022,0.346,4.191968658,0.84,3M Zn(CF3SO3)2,2,94.2
9.33,6.25,0,0,0,1021,694,327,0.679725759,1.07,0.69978,0.37022,0.346,4.191968658,0.84,3M Zn(CF3SO3)2,5,85.6
9.33,6.25,0,0,0,1021,694,327,0.679725759,1.07,0.69978,0.37022,0.346,4.191968658,0.84,3M Zn(CF3SO3)2,10,76
9.33,6.25,0,0,0,1021,694,327,0.679725759,1.07,0.69978,0.37022,0.346,4.191968658,0.84,3M Zn(CF3SO3)2,20,59.1
8,8.12,0,0,0,1685,318,1367,0.188724036,1.2,0.4044,0.7956,0.663,2.848664688,0.85,3M Zn(CF3SO3)2,0.2,153.8
8,8.12,0,0,0,1685,318,1367,0.188724036,1.2,0.4044,0.7956,0.663,2.848664688,0.85,3M Zn(CF3SO3)2,0.5,146.9
8,8.12,0,0,0,1685,318,1367,0.188724036,1.2,0.4044,0.7956,0.663,2.848664688,0.85,3M Zn(CF3SO3)2,1,127.3
8,8.12,0,0,0,1685,318,1367,0.188724036,1.2,0.4044,0.7956,0.663,2.848664688,0.85,3M Zn(CF3SO3)2,2,117
8,8.12,0,0,0,1685,318,1367,0.188724036,1.2,0.4044,0.7956,0.663,2.848664688,0.85,3M Zn(CF3SO3)2,5,108.7
8,8.12,0,0,0,1685,318,1367,0.188724036,1.2,0.4044,0.7956,0.663,2.848664688,0.85,3M Zn(CF3SO3)2,10,95.5
8,8.12,0,0,0,1685,318,1367,0.188724036,1.2,0.4044,0.7956,0.663,2.848664688,0.85,3M Zn(CF3SO3)2,20,82.3
9.75,7.83,0,0,0,2370,687,1683,0.289873418,2.18,0.52756,1.65244,0.758,3.679324895,0.85,3M Zn(CF3SO3)2,0.2,250
9.75,7.83,0,0,0,2370,687,1683,0.289873418,2.18,0.52756,1.65244,0.758,3.679324895,0.85,3M Zn(CF3SO3)2,0.5,217.5
9.75,7.83,0,0,0,2370,687,1683,0.289873418,2.18,0.52756,1.65244,0.758,3.679324895,0.85,3M Zn(CF3SO3)2,1,184.3
9.75,7.83,0,0,0,2370,687,1683,0.289873418,2.18,0.52756,1.65244,0.758,3.679324895,0.85,3M Zn(CF3SO3)2,2,163.5
9.75,7.83,0,0,0,2370,687,1683,0.289873418,2.18,0.52756,1.65244,0.758,3.679324895,0.85,3M Zn(CF3SO3)2,5,156.8
9.75,7.83,0,0,0,2370,687,1683,0.289873418,2.18,0.52756,1.65244,0.758,3.679324895,0.85,3M Zn(CF3SO3)2,10,151.9
9.75,7.83,0,0,0,2370,687,1683,0.289873418,2.18,0.52756,1.65244,0.758,3.679324895,0.85,3M Zn(CF3SO3)2,20,149.2
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,0.2,138.5
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,0.5,112.9
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,1,98.1
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,2,89.3
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,5,77.6
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,10,69
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,20,61.8
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,40,48.7
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,60,38.7
4.41,12.14,0,0,0,494,388,106,0.785425101,0.27,0.17,0.1,0.37037037,2.186234818,3.1,2M ZnSO4,80,28.8
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,0.2,149.9
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,0.5,128.2
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,1,112.4
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,2,102.5
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,5,90.9
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,10,83.2
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,20,73.8
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,40,63.3
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,60,55.4
5.51,5.19,0,0,0,642,288,354,0.448598131,0.58,0.09,0.49,0.844827586,3.613707165,3.5,2M ZnSO4,80,46.9
