O,N,B,S,P,Specific surface area,Pore volume,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity,micro%
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,119.9,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,108.3,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,100.2,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,94.6,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,90.4,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,84.8,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,81.1,0.652505447
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,159.9,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,139.2,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,0.5,124.8,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,1.0,116.0,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,2.0,109.9,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,5.0,101.9,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,20.0,94.0,0.458075905
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,114.2,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,104.8,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,95.6,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,90.0,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,86.8,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,82.4,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,78.5,0.209616829
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,48.3,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,43.4,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,38.9,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,36.5,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,34.8,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,33.2,0.621890547
