O,N,Specific surface area,Pore volume,Dap,ID/IG,Current density,Specific capacity,micro%
5.5,2.53,947.0,0.54,2.280887012,0.855,0.5,117.9,0.5
5.5,2.53,947.0,0.54,2.280887012,0.855,20.0,71.0,0.5
3.67,0.0,1175.0,0.71,2.417021277,0.858,0.5,136.2,0.577464789
3.67,0.0,1175.0,0.71,2.417021277,0.858,20.0,75.9,0.577464789
10.41,2.37,899.0,0.52,2.313681869,0.856,0.5,165.9,0.365384615
10.41,2.37,899.0,0.52,2.313681869,0.856,20.0,110.9,0.365384615
9.64,3.44,1624.0,0.918,2.261083744,0.999,0.1,119.9,0.652505447
9.64,3.44,1624.0,0.918,2.261083744,0.999,0.2,108.3,0.652505447
9.64,3.44,1624.0,0.918,2.261083744,0.999,0.5,100.2,0.652505447
9.64,3.44,1624.0,0.918,2.261083744,0.999,1.0,94.6,0.652505447
9.64,3.44,1624.0,0.918,2.261083744,0.999,2.0,90.4,0.652505447
9.64,3.44,1624.0,0.918,2.261083744,0.999,5.0,84.8,0.652505447
9.64,3.44,1624.0,0.918,2.261083744,0.999,20.0,81.1,0.652505447
8.42,1.64,1949.0,1.133,2.325295023,0.917,0.1,159.9,0.458075905
8.42,1.64,1949.0,1.133,2.325295023,0.917,0.2,139.2,0.458075905
8.42,1.64,1949.0,1.133,2.325295023,0.917,0.5,124.8,0.458075905
8.42,1.64,1949.0,1.133,2.325295023,0.917,1.0,116.0,0.458075905
8.42,1.64,1949.0,1.133,2.325295023,0.917,2.0,109.9,0.458075905
8.42,1.64,1949.0,1.133,2.325295023,0.917,5.0,101.9,0.458075905
8.42,1.64,1949.0,1.133,2.325295023,0.917,20.0,94.0,0.458075905
5.52,0.89,2276.0,1.331,2.339191564,0.872,0.1,114.2,0.209616829
5.52,0.89,2276.0,1.331,2.339191564,0.872,0.2,104.8,0.209616829
5.52,0.89,2276.0,1.331,2.339191564,0.872,0.5,95.6,0.209616829
5.52,0.89,2276.0,1.331,2.339191564,0.872,1.0,90.0,0.209616829
5.52,0.89,2276.0,1.331,2.339191564,0.872,2.0,86.8,0.209616829
5.52,0.89,2276.0,1.331,2.339191564,0.872,5.0,82.4,0.209616829
5.52,0.89,2276.0,1.331,2.339191564,0.872,20.0,78.5,0.209616829
7.71,0.0,804.0,0.315,1.567164179,0.97,0.5,48.3,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,1.0,43.4,0.621890547
7.71,0.0,804.0,0.315,1.567164179,0.97,2.0,38.9,0.621890547
